Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.002    0.000    0.302    0.010 nx_pylab.py:675(draw_networkx_edges)
   109626    0.207    0.000    0.301    0.000 Mapping.py:248(<listcomp>)
      372    0.019    0.000    0.299    0.001 text.py:358(_get_layout)
        1    0.000    0.000    0.298    0.298 compose.py:1(<module>)
      279    0.005    0.000    0.297    0.001 patches.py:4413(_get_path_in_displaycoord)
    73101    0.180    0.000    0.295    0.000 mapping_assist_funcs.py:65(<dictcomp>)
     1134    0.008    0.000    0.295    0.000 std.py:1150(__str__)
    73101    0.189    0.000    0.294    0.000 mapping_assist_funcs.py:55(<dictcomp>)
        1    0.000    0.000    0.294    0.294 helper.py:1(<module>)
    18271    0.047    0.000    0.294    0.000 MemoryAllocator.py:59(<dictcomp>)
    73101    0.181    0.000    0.293    0.000 mapping_assist_funcs.py:60(<dictcomp>)
   109626    0.199    0.000    0.291    0.000 Mapping.py:346(<listcomp>)
      103    0.001    0.000    0.289    0.003 artist.py:159(_update_set_signature_and_docstring)
     1168    0.004    0.000    0.288    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
   109626    0.216    0.000    0.288    0.000 Mapping.py:487(<listcomp>)
     3402    0.007    0.000    0.286    0.000 utils.py:378(disp_len)
      102    0.001    0.000    0.284    0.003 artist.py:126(__init_subclass__)
     1168    0.283    0.000    0.283    0.000 {built-in method marshal.loads}
   109626    0.211    0.000    0.282    0.000 Mapping.py:494(<listcomp>)
213846/212482    0.086    0.000    0.281    0.000 {built-in method builtins.next}
   347445    0.186    0.000    0.279    0.000 layer_node.py:49(get_pr_layer_dims)
    22032    0.070    0.000    0.279    0.000 {built-in method builtins.sum}
    11811    0.064    0.000    0.279    0.000 artist.py:1173(_update_props)
      744    0.013    0.000    0.276    0.000 axis.py:1532(get_minorticklocs)
     1134    0.053    0.000    0.275    0.000 std.py:464(format_meter)
   109626    0.184    0.000    0.274    0.000 Mapping.py:353(<listcomp>)
      248    0.002    0.000    0.273    0.001 axis.py:2179(_get_tick_boxes_siblings)
     3402    0.004    0.000    0.273    0.000 utils.py:374(_text_width)
   109626    0.186    0.000    0.271    0.000 Mapping.py:279(<listcomp>)
    18333    0.017    0.000    0.268    0.000 SpatialMappingInternal.py:159(calc_mem_bw_boost_factor)
      434    0.004    0.000    0.267    0.001 axis.py:969(set_tick_params)
    18271    0.046    0.000    0.264    0.000 MemoryAllocator.py:87(<dictcomp>)
    73874    0.075    0.000    0.257    0.000 MemoryHierarchy.py:154(topological_sort)
     8556    0.007    0.000    0.256    0.000 artist.py:147(<lambda>)
    18333    0.075    0.000    0.251    0.000 SpatialMappingInternal.py:166(<dictcomp>)
     8556    0.009    0.000    0.248    0.000 artist.py:1220(set)
  1533974    0.245    0.000    0.245    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.245    0.245 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.243    0.243 specialpolys.py:1(<module>)
  186/124    0.001    0.000    0.242    0.002 axis.py:560(__get__)
    54813    0.145    0.000    0.240    0.000 TemporalMapping.py:91(<listcomp>)
    54813    0.161    0.000    0.240    0.000 MemoryAllocator.py:59(<listcomp>)
    36542    0.142    0.000    0.239    0.000 Mapping.py:104(<dictcomp>)
     1240    0.005    0.000    0.239    0.000 text.py:65(_get_text_metrics_with_cache)
    36542    0.161    0.000    0.239    0.000 Mapping.py:46(<dictcomp>)
    18333    0.018    0.000    0.237    0.000 SpatialMappingInternal.py:143(calc_data_serve_scope)
  1649937    0.237    0.000    0.237    0.000 MemoryAllocator.py:272(<genexpr>)
      186    0.001    0.000    0.236    0.001 artist.py:31(draw_wrapper)
      186    0.002    0.000    0.235    0.001 patches.py:4438(draw)
   295651    0.130    0.000    0.235    0.000 graph.py:455(__contains__)
        1    0.000    0.000    0.235    0.235 colorbar.py:1(<module>)
      279    0.003    0.000    0.234    0.001 patches.py:2810(__call__)
   248525    0.180    0.000    0.234    0.000 mapping_assist_funcs.py:130(<dictcomp>)
  1402206    0.233    0.000    0.233    0.000 layer_node.py:255(<genexpr>)
    10385    0.006    0.000    0.231    0.000 artist.py:1209(_internal_update)
    36542    0.146    0.000    0.229    0.000 Mapping.py:101(<dictcomp>)
18662/15841    0.012    0.000    0.229    0.000 deprecation.py:292(wrapper)
     3689    0.004    0.000    0.228    0.000 markers.py:220(__init__)
    36542    0.127    0.000    0.227    0.000 Mapping.py:153(<dictcomp>)
   255794    0.163    0.000    0.225    0.000 data_movement.py:136(set_data_elem_move_count)
    36542    0.149    0.000    0.224    0.000 Mapping.py:256(<listcomp>)
      558    0.002    0.000    0.222    0.000 patches.py:2790(_clip)
      114    0.000    0.000    0.222    0.002 artist.py:1837(kwdoc)
     1581    0.029    0.000    0.221    0.000 lines.py:287(__init__)
    18271    0.078    0.000    0.221    0.000 TemporalMapping.py:98(<dictcomp>)
   109626    0.184    0.000    0.221    0.000 Mapping.py:317(<listcomp>)
        1    0.000    0.000    0.220    0.220 rings.py:1(<module>)
      558    0.020    0.000    0.220    0.000 bezier.py:351(split_path_inout)
    18333    0.080    0.000    0.219    0.000 SpatialMappingInternal.py:152(<dictcomp>)
74438/1340    0.098    0.000    0.218    0.000 copy.py:128(deepcopy)
    633/8    0.005    0.000    0.216    0.027 validator.py:1009(validate)
     3689    0.012    0.000    0.213    0.000 markers.py:299(_set_marker)
1303/1297    0.003    0.000    0.212    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
